RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	725.99    	-12.03    	-5.00     	-11.50    	-13.80    	-15.80    	0.36      	0.33      	0.28      	0.28      	0.34      	0.33      	0.27      	0.27      	0.36      	0.33      	0.28      	0.28      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	735.07    	-11.14    	-3.60     	-9.70     	-9.70     	-10.10    	0.77      	0.84      	0.84      	0.84      	0.86      	0.93      	0.93      	0.93      	0.78      	0.85      	0.85      	0.85      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	47.65     	-9.34     	-3.60     	-9.70     	-9.70     	-10.10    	0.84      	0.84      	0.84      	0.84      	0.93      	0.93      	0.93      	0.93      	0.85      	0.85      	0.85      	0.85      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	104.02    	-11.04    	-5.00     	-11.50    	-13.80    	-15.80    	0.34      	0.33      	0.28      	0.28      	0.34      	0.33      	0.27      	0.27      	0.35      	0.33      	0.28      	0.28      
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	256.57    	-11.14    	-3.20     	-9.70     	-9.70     	-10.10    	0.42      	0.42      	0.42      	0.42      	0.45      	0.45      	0.45      	0.45      	0.43      	0.43      	0.43      	0.43      
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	491.85    	-11.14    	-3.20     	-9.70     	-9.70     	-10.10    	0.42      	0.42      	0.42      	0.42      	0.45      	0.45      	0.45      	0.45      	0.43      	0.43      	0.43      	0.43      
srp_Baci.subt._X06803                        	53        	121.53    	-11.88    	-8.00     	-8.40     	-8.40     	-10.10    	0.92      	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      	0.93 
srp_Baci.subt._X06803                        	53        	105.22    	-11.88    	-8.00     	-8.40     	-8.40     	-10.10    	0.92      	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      	0.93
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	1153.65   	-11.14    	-3.60     	-9.70     	-9.70     	-10.10    	0.84      	0.84      	0.84      	0.84      	0.93      	0.93      	0.93      	0.93      	0.85      	0.85      	0.85      	0.85      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	1824.39   	-12.83    	-5.00     	-11.50    	-13.80    	-15.80    	0.90      	0.33      	0.28      	0.28      	0.92      	0.33      	0.27      	0.27      	0.90      	0.33      	0.28      	0.28
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	1253.19   	-11.14    	-3.20     	-9.70     	-9.70     	-10.10    	0.42      	0.42      	0.42      	0.42      	0.45      	0.45      	0.45      	0.45      	0.43      	0.43      	0.43      	0.43      
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	1209.98   	-11.14    	-3.20     	-9.70     	-9.70     	-10.10    	0.42      	0.42      	0.42      	0.42      	0.45      	0.45      	0.45      	0.45      	0.43      	0.43      	0.43      	0.43      
tRNA_tdbR00000592-Ascaris_suum-6253-Gln-UG   	58        	5401.26   	-6.07     	1.40      	-6.50     	-6.20     	-10.00    	0.41      	0.00      	0.00      	0.00      	0.41      	0.00      	0.00      	0.00      	0.41      	0.00      	0.00      	0.00      
