RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
srp_Baci.subt._X06803                        	53        	85.59     	-11.88    	-8.00     	-8.40     	-8.40     	-10.10    	0.92      	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      	0.93      
srp_Bdel.bact._BX842656                      	56        	93.10     	-15.39    	-7.80     	-12.20    	-11.80    	-12.40    	0.32      	0.00      	0.00      	0.30      	0.38      	0.00      	0.00      	0.37      	0.33      	0.00      	0.00      	0.31      
srp_Cory.glut._AP009044                      	52        	123.53    	-20.68    	-5.00     	-17.80    	-19.50    	-16.00    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Cory.glut._BA000036                      	52        	100.36    	-24.24    	-5.00     	-21.50    	-23.10    	-19.10    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Kine.radi._CP000750                      	53        	297.97    	-24.72    	-7.40     	-24.50    	-25.40    	-21.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Lact.brev._CP000416                      	55        	153.63    	-14.68    	-5.90     	-10.60    	-9.50     	-11.00    	0.23      	0.56      	0.58      	0.00      	0.27      	0.64      	0.65      	0.00      	0.24      	0.57      	0.59      	0.00      
srp_Magn.magn._AP007255                      	58        	189.23    	-19.71    	-8.60     	-16.40    	-14.60    	-15.50    	0.56      	0.00      	0.54      	0.23      	0.64      	0.00      	0.62      	0.27      	0.57      	0.00      	0.55      	0.24      
srp_Myco.bovi._BX248347                      	59        	246.71    	-25.81    	-5.80     	-22.80    	-23.90    	-19.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Myco.spec._CP000518                      	53        	67.73     	-23.87    	-5.60     	-21.10    	-23.30    	-18.10    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Pedi.pent._CP000422                      	59        	215.43    	-18.26    	-8.20     	-11.30    	-11.00    	-13.60    	0.74      	0.15      	0.00      	0.24      	0.83      	0.17      	0.00      	0.26      	0.75      	0.16      	0.00      	0.24      
srp_Proc.mari._AE017126                      	51        	48.96     	-16.00    	-8.90     	-16.00    	-15.40    	-16.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Sacc.eryt._AM420293                      	53        	302.16    	-24.72    	-7.40     	-24.50    	-25.40    	-21.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Shig.flex._AE016979                      	54        	155.70    	-18.10    	-9.90     	-14.50    	-14.50    	-14.40    	0.25      	0.67      	0.67      	0.67      	0.29      	0.73      	0.73      	0.73      	0.26      	0.67      	0.67      	0.67      
srp_Stre.pyog._AM295007                      	57        	135.04    	-15.04    	-11.80    	-13.10    	-11.80    	-14.80    	0.61      	0.83      	1.00      	0.83      	0.66      	0.93      	1.00      	0.93      	0.61      	0.85      	1.00      	0.85      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	200.83    	-12.28    	-3.60     	-9.70     	-9.70     	-10.10    	0.43      	0.84      	0.84      	0.84      	0.45      	0.93      	0.93      	0.93      	0.43      	0.85      	0.85      	0.85      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	177.88    	-15.23    	-5.00     	-11.50    	-13.80    	-15.80    	0.90      	0.33      	0.28      	0.28      	0.92      	0.33      	0.27      	0.27      	0.90      	0.33      	0.28      	0.28      
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	203.38    	-12.28    	-3.20     	-9.70     	-9.70     	-10.10    	0.93      	0.42      	0.42      	0.42      	0.93      	0.45      	0.45      	0.45      	0.93      	0.43      	0.43      	0.43      
tRNA_tdbR00000592-Ascaris_suum-6253-Gln-UG   	58        	3435.09   	-7.28     	1.40      	-6.50     	-6.20     	-10.00    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
tRNA_tdbR00000593-Ascaris_suum-6253-Trp-CA   	60        	241.55    	-13.77    	-2.20     	-8.70     	-8.70     	-9.70     	0.57      	0.57      	0.57      	0.57      	0.62      	0.62      	0.62      	0.62      	0.58      	0.58      	0.58      	0.58      
tRNA_tdbR00000594-Ascaris_suum-6253-Leu-AA   	58        	1461.67   	-10.59    	-1.30     	-8.90     	-7.60     	-9.50     	0.65      	0.29      	0.65      	0.29      	0.66      	0.27      	0.66      	0.27      	0.65      	0.29      	0.65      	0.29      
