RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
srp_Chlo.vulg._AB001684                      	67        	419.21    	-27.00    	-21.60    	-23.30    	-23.30    	-24.80    	0.97      	0.97      	0.97      	0.81      	0.96      	0.96      	0.96      	0.80      	0.97      	0.97      	0.97      	0.81      
srp_Coxi.burn._AE016828                      	64        	432.48    	-23.99    	-8.30     	-22.30    	-21.40    	-18.00    	0.00      	0.00      	0.00      	0.27      	0.00      	0.00      	0.00      	0.38      	0.00      	0.00      	0.00      	0.31      
srp_Gynu.aura._SDB-109565                    	66        	433.77    	-15.92    	1388.00   	-13.70    	-13.70    	-13.80    	0.00      	0.00      	0.00      	0.30      	0.00      	0.00      	0.00      	0.32      	0.00      	0.00      	0.00      	0.30      
srp_Heli.annu._AJ828095                      	64        	2175.72   	-13.10    	-2.20     	-13.30    	-13.30    	-13.10    	0.48      	0.48      	0.00      	0.25      	0.58      	0.58      	0.00      	0.29      	0.50      	0.50      	0.00      	0.26      
srp_Heli.exil._EE659686                      	64        	2117.55   	-16.60    	-3.90     	-14.70    	-17.10    	-14.00    	0.00      	0.00      	0.00      	0.25      	0.00      	0.00      	0.00      	0.33      	0.00      	0.00      	0.00      	0.28      
srp_Moor.ther._CP000232                      	67        	2872.36   	-20.78    	-4.60     	-21.30    	-18.90    	-22.00    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Prun.arme._CB819242                      	67        	3361.28   	-16.97    	-7.60     	-16.20    	-16.50    	-13.80    	0.00      	0.00      	0.00      	0.25      	0.00      	0.00      	0.00      	0.31      	0.00      	0.00      	0.00      	0.27      
srp_Prun.arme._CV045835                      	67        	3347.44   	-16.97    	-7.60     	-16.20    	-16.50    	-13.80    	0.00      	0.00      	0.00      	0.25      	0.00      	0.00      	0.00      	0.31      	0.00      	0.00      	0.00      	0.27      
srp_Sili.spec._CP000377                      	62        	307.76    	-23.59    	-9.50     	-23.20    	-23.30    	-21.20    	0.00      	0.00      	0.00      	0.21      	0.00      	0.00      	0.00      	0.24      	0.00      	0.00      	0.00      	0.21      
srp_Stre.coel._AL939118                      	64        	319.31    	-26.56    	-7.70     	-22.60    	-26.10    	-21.50    	0.00      	0.00      	0.00      	0.57      	0.00      	0.00      	0.00      	0.77      	0.00      	0.00      	0.00      	0.63      
srp_Synt.wolf._CP000448                      	65        	405.29    	-24.28    	-5.70     	-22.80    	-23.00    	-20.30    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Toxo.gond._CO743022                      	66        	654.88    	-34.13    	2792.10   	-30.80    	-28.60    	-25.70    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
tRNA_tdbR00000052-Aedes_albopictus-7160-Glu-NUC	69        	5400.55   	-8.91     	1.40      	-4.80     	-5.10     	-7.90     	0.28      	0.50      	0.00      	0.50      	0.29      	0.47      	0.00      	0.47      	0.28      	0.50      	0.00      	0.50      
tRNA_tdbR00000078-Ascaris_suum-6253-Phe-GAA  	62        	3603.03   	-12.88    	1400.30   	-4.90     	-5.90     	-10.20    	0.51      	0.67      	0.51      	0.59      	0.56      	0.67      	0.56      	0.63      	0.52      	0.67      	0.52      	0.59      
tRNA_tdbR00000080-Bos_taurus-9913-Phe-GAA    	70        	4246.69   	-13.24    	-11.90    	-13.70    	-12.20    	-13.30    	0.68      	1.00      	1.00      	0.81      	0.68      	1.00      	1.00      	0.73      	0.68      	1.00      	1.00      	0.83      
tRNA_tdbR00000124-Aedes_albopictus-7160-Gly-UCC	70        	5400.23   	-13.86    	-3.30     	-9.40     	-10.00    	-11.40    	0.90      	0.72      	0.46      	0.46      	0.93      	0.68      	0.45      	0.45      	0.91      	0.73      	0.46      	0.46      
tRNA_tdbR00000126-Halocynthia_roretzi-7729-Gly-NCU	68        	5400.16   	-15.99    	2.10      	-10.10    	-10.10    	-9.50     	0.44      	0.39      	0.44      	0.00      	0.42      	0.37      	0.42      	0.00      	0.44      	0.39      	0.44      	0.00      
tRNA_tdbR00000127-Halocynthia_roretzi-7729-Gly-UCU	65        	3644.07   	-13.35    	1393.10   	-9.90     	-9.90     	-11.70    	0.15      	0.60      	0.60      	0.57      	0.15      	0.60      	0.60      	0.59      	0.15      	0.60      	0.60      	0.57      
tRNA_tdbR00000128-Halocynthia_roretzi-7729-Gly-GCU	70        	5400.61   	-18.89    	1395.90   	-14.40    	-14.90    	-13.70    	0.23      	0.24      	0.23      	0.26      	0.26      	0.26      	0.26      	0.27      	0.24      	0.24      	0.24      	0.26      
tRNA_tdbR00000189-Rattus_norvegicus-10116-Lys-NUU	67        	1743.77   	-11.60    	1387.00   	-7.10     	-9.70     	-8.10     	0.49      	0.50      	0.53      	0.24      	0.48      	0.48      	0.53      	0.22      	0.49      	0.50      	0.53      	0.24      
tRNA_tdbR00000190-Bos_taurus-9913-Lys-NUU    	70        	3319.33   	-17.14    	1378.30   	-17.40    	-16.50    	-13.20    	0.93      	0.98      	0.98      	0.98      	0.94      	0.96      	0.96      	0.96      	0.93      	0.98      	0.98      	0.98      
tRNA_tdbR00000191-Mesocricetus_auratus-10036-Lys-NUU	68        	3769.38   	-17.91    	1380.80   	-16.40    	-15.70    	-14.10    	0.57      	0.73      	0.32      	0.57      	0.59      	0.74      	0.34      	0.59      	0.57      	0.73      	0.32      	0.57      
tRNA_tdbR00000282-Ascaris_suum-6253-Met-AU   	64        	4298.80   	-13.55    	0.20      	-12.90    	-12.90    	-12.00    	0.37      	0.37      	0.37      	0.37      	0.39      	0.39      	0.39      	0.39      	0.37      	0.37      	0.37      	0.37      
tRNA_tdbR00000365-Aedes_albopictus-7160-Arg-UCG	67        	453.99    	-16.36    	-9.20     	-11.70    	-12.30    	-13.30    	0.52      	0.98      	0.52      	0.24      	0.54      	0.99      	0.54      	0.21      	0.52      	0.98      	0.52      	0.24      
tRNA_tdbR00000399-Aedes_albopictus-7160-Ser-GCU	67        	761.45    	-15.47    	17.20     	-9.80     	-9.40     	-8.90     	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
tRNA_tdbR00000463-Bos_taurus-9913-Val-UAC    	70        	564.82    	-14.63    	-4.60     	-11.80    	-11.80    	-11.30    	0.68      	0.67      	0.68      	0.70      	0.71      	0.68      	0.71      	0.72      	0.68      	0.67      	0.68      	0.70      
tRNA_tdbR00000492-Rattus_norvegicus-10116-Trp-NCA	70        	534.18    	-14.81    	-7.50     	-11.00    	-10.90    	-9.70     	0.93      	0.95      	1.00      	1.00      	0.94      	0.92      	1.00      	1.00      	0.93      	0.95      	1.00      	1.00      
tRNA_tdbR00000493-Bos_taurus-9913-Trp-NCA    	70        	2199.99   	-14.20    	-8.50     	-11.30    	-10.30    	-11.10    	1.00      	0.97      	1.00      	0.44      	1.00      	0.96      	1.00      	0.42      	1.00      	0.97      	1.00      	0.45      
tRNA_tdbR00000590-Ascaris_suum-6253-Glu-UC   	62        	3253.73   	-12.73    	0.30      	-7.70     	-7.70     	-9.40     	0.86      	0.33      	0.33      	0.56      	0.94      	0.37      	0.37      	0.58      	0.87      	0.34      	0.34      	0.56      
