RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
srp_Acin.spec._CR543861                      	47        	385.68    	-15.03    	-14.30    	-14.30    	-15.30    	-16.60    	1.00      	1.00      	0.55      	0.67      	1.00      	1.00      	0.55      	0.70      	1.00      	1.00      	0.55      	0.67      
srp_Baci.amyl._CP000560                      	30        	0.37      	-7.63     	-5.00     	-5.00     	-5.00     	-6.70     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Brad.japo._BA000040                      	33        	1.34      	-10.94    	-10.00    	-10.80    	-10.00    	-11.00    	1.00      	0.00      	1.00      	1.00      	1.00      	0.00      	1.00      	1.00      	1.00      	0.00      	1.00      	1.00      
srp_Brad.spec._CP000494                      	33        	1.36      	-10.94    	-10.00    	-10.80    	-10.00    	-11.00    	1.00      	0.00      	1.00      	1.00      	1.00      	0.00      	1.00      	1.00      	1.00      	0.00      	1.00      	1.00      
srp_Bruc.abor._AE017223                      	33        	1.35      	-10.94    	-10.00    	-10.80    	-10.00    	-11.00    	1.00      	0.00      	1.00      	1.00      	1.00      	0.00      	1.00      	1.00      	1.00      	0.00      	1.00      	1.00      
srp_Camp.jeju._AL139074                      	36        	3.27      	-10.04    	-8.70     	-8.70     	-8.70     	-9.50     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Carb.hydr._CP000141                      	36        	2.42      	-8.77     	-3.80     	-7.70     	-7.70     	-9.10     	0.93      	0.93      	0.93      	0.93      	0.90      	0.90      	0.90      	0.90      	0.94      	0.94      	0.94      	0.94      
srp_Dein.geot._CP000359                      	32        	1.35      	-10.86    	-8.70     	-9.70     	-9.50     	-10.10    	1.00      	0.00      	0.00      	1.00      	1.00      	0.00      	0.00      	1.00      	1.00      	0.00      	0.00      	1.00      
srp_Erwi.caro._BX950851                      	30        	0.47      	-10.70    	-8.60     	-8.60     	-8.60     	-9.60     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Ferv.nodo._CP000771                      	35        	2.55      	-10.94    	-10.00    	-10.80    	-10.00    	-11.00    	1.00      	0.00      	1.00      	1.00      	1.00      	0.00      	1.00      	1.00      	1.00      	0.00      	1.00      	1.00      
srp_Geob.uran._CP000698                      	33        	1.74      	-8.24     	-8.30     	-8.30     	-8.30     	-9.80     	1.00      	1.00      	1.00      	0.43      	1.00      	1.00      	1.00      	0.47      	1.00      	1.00      	1.00      	0.43      
srp_Haem.infl._L42023                        	32        	1.04      	-9.86     	-8.60     	-9.70     	-9.50     	-10.20    	1.00      	0.00      	0.00      	0.00      	1.00      	0.00      	0.00      	0.00      	1.00      	0.00      	0.00      	0.00      
srp_Lact.lact._AM406671                      	36        	13.41     	-6.86     	-2.70     	-6.90     	-6.70     	-9.00     	0.93      	0.00      	0.00      	0.00      	0.90      	0.00      	0.00      	0.00      	0.94      	0.00      	0.00      	0.00      
srp_Lact.lact._CP000425                      	36        	13.39     	-6.86     	-2.70     	-6.90     	-6.70     	-9.00     	0.93      	0.00      	0.00      	0.00      	0.90      	0.00      	0.00      	0.00      	0.94      	0.00      	0.00      	0.00      
srp_Lact.sali._CP000233                      	31        	0.75      	-8.77     	-7.70     	-7.70     	-7.70     	-9.10     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_List.wels._AM263198                      	30        	0.36      	-7.63     	-5.00     	-5.00     	-5.00     	-6.70     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Meth.vann._CP000742                      	36        	5.86      	-11.42    	-7.70     	-10.30    	-10.30    	-10.60    	0.82      	0.82      	0.93      	0.93      	0.85      	0.85      	0.90      	0.90      	0.82      	0.82      	0.94      	0.94      
